,0,1,2,3
ta-poochiedanger.mid,40.00000000000062,F#,minor,150
superRtype_4_zb1.mid,144.46139400000237,C,major,130
luf2title.mid,144.54541599999973,D,minor,88
aqutallion_field_h.mid,81.96874999999997,E,minor,120
RoboX.mid,74.00419199999924,D,major,116
DQ3_Overworld_Map.mid,144.00000000000009,G,minor,120
Wario_Wood-by_MeltoRheo.mid,32.00416666666658,C,major,150
Balrog3.mid,277.3330559999964,E,major,135
Guts_Man_(Organ_Mix).mid,124.30276031251319,G#,minor,143
WPVsModeXG.mid,142.90894800000015,F,minor,110
SNES_Toki_Memo_Spring.mid,109.7141759999995,E,major,140
MC_Thanatos_Defeated.mid,40.42099200000004,E,major,95
LightWorldDungeon.mid,72.80833333333683,F#,minor,120
FFMQForest-SC8850.mid,206.11696000000254,B-,minor,85
hercules4_field2.mid,148.5791015625,B,minor,120
sd323.mid,92.73599999999881,A,minor,62
queenalien.mid,54.084480000000205,D,minor,71
rsaga203.mid,54.979702999999986,C#,minor,65
allstars_m3fort.mid,60.56541562499993,G#,minor,120
sd313.mid,48.306000000000616,F,major,120
ffgeetar.mid,210.86090024999947,G,minor,90
MKR_Boss_Xg.mid,145.50000000000148,C,minor,160
aqutallion_field_k.mid,62.00000000000288,C,minor,120
lvworld4.mid,99.4106148750023,G,minor,140
Opening2.mid,53.16000000000002,B,major,125
sf2Honda456.mid,38.00000000000005,E-,minor,120
7thsaga_town1.mid,114.51187175000123,E,minor,120
SailorMoonR_GnomeForest.mid,137.5999999999976,E,minor,150
Zelda3_Castle_Theme.mid,173.30302799999833,G,minor,100
ctayla.mid,79.33711030000015,D,minor,175
BL_wagyan_jewelcave.mid,240.6025859999949,A,minor,199
MegaManX2_FlameStag.mid,163.13497199998054,B,minor,185
SMW_-_Vanilla_Dome_-Remix-.mid,159.99984000000035,B-,major,180
mmx1c.mid,110.88744399999928,G,minor,81
TN_-_Zombies.mid,163.81499999999465,A,major,100
SUNSET1.mid,67.97499999999958,E-,minor,120
dkc2Klba.mid,57.69957778333308,D,minor,129
Good_Nopino_Goblins.mid,100.0,F,major,120
Boss_2.mid,103.95067166666622,B-,major,136
27-DopplerBattle.mid,102.39583333333276,F,minor,150
mega_man_vii_cloud_man_stage_altocumulus_floccus_remix.mid,318.4605300000211,G,major,130
ter39.mid,73.02578399999986,F,minor,85
Zelda3_Story_Theme.mid,124.44663481249586,C,major,135
jrlepage_smw_star_road.mid,46.45156800000021,F,minor,96
ff5lenna.mid,81.12333333333304,B-,major,150
cv5stg3.mid,70.172362333334,C#,minor,116
blarcs.mid,125.16103999999939,B,major,186
fe4victory.mid,290.04475269166437,C,major,128
contra_1.mid,152.95941294792007,A,minor,130
Tmntelevator.mid,79.94310187500035,B-,major,198
dw5_shrine.mid,63.13232246874996,C,major,85
tmnt_-_back_alley.mid,96.39348600000149,A,minor,182
luf1doom.mid,97.42567599999988,D,minor,101
popntwinbee-stage7.mid,95.99999999999848,E,major,200
JILost_-_SNES_-_Super_Metroid_-_Boss_Confrontation_1.mid,61.528645833333286,A-,major,240
soeboss.mid,59.37493270833256,D,major,97
marcel.mid,103.9999999999999,C,major,120
MN_-_Arcade-Style_Fun.mid,39.98333333333236,D,major,150
ff316.mid,56.38015999999978,C,major,170
BTWorld.mid,93.125,F,minor,96
jaki_crush_japan_-_main_table.mid,345.05859375,C#,major,128
Password.mid,76.11791968749996,F#,minor,142
GokujyoParodius_BStage7.mid,78.88895200000049,A,minor,107
BL_sutte_practice.mid,91.24115156250126,B,major,142
mine.mid,109.56506400000391,D,minor,92
SBomb4-Bonus.mid,43.88569599999958,E,minor,175
ff2dread.mid,264.7270080000068,A,minor,165
sandocean.mid,117.60000000000264,G,major,100
Paranoid2.mid,157.72639172499933,C,major,170
Soerat.mid,139.84253599993806,E,minor,126
dbth-worthy.mid,85.31935912500572,C,major,180
rh_tsc.mid,114.859375,F,minor,240
BEGIN2.mid,39.01514600000005,C,major,120
RH_A05S.mid,129.99583333333257,G,minor,120
tmnt415.mid,46.19989199999985,A,minor,80
popntwinbee-staffroll.mid,100.42090199999878,C,major,190
iogankor.mid,225.0,F,major,128
